GERENCIA_SERVICIOS,EQUIPO_COMERCIAL,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,TARIFA,CONEXIONES_AGUA,CONEXIONES_ALCANTARILLADO,ANIO,MES,FECHA_CORTE
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,MI PERU,070107,DOMESTICO,8783,8748,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,MI PERU,070107,COMERCIAL,128,124,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,MI PERU,070107,INDUSTRIAL,1,1,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,MI PERU,070107,ESTATAL,0,0,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,LIMA (CERCADO),150101,SOCIAL,72,55,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,LIMA (CERCADO),150101,DOMESTICO,46848,29309,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,LIMA (CERCADO),150101,COMERCIAL,8314,4811,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,LIMA (CERCADO),150101,INDUSTRIAL,715,596,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,LIMA (CERCADO),150101,ESTATAL,0,0,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,BRENA,150105,SOCIAL,10,5,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,BRENA,150105,DOMESTICO,12134,8166,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,BRENA,150105,COMERCIAL,2434,1199,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,BRENA,150105,INDUSTRIAL,240,189,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,BRENA,150105,ESTATAL,0,0,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,JESUS MARIA,150113,SOCIAL,10,7,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,JESUS MARIA,150113,DOMESTICO,8735,4801,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,JESUS MARIA,150113,COMERCIAL,1947,1142,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,JESUS MARIA,150113,INDUSTRIAL,156,163,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,JESUS MARIA,150113,ESTATAL,0,0,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,LA VICTORIA,150115,SOCIAL,13,12,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,LA VICTORIA,150115,DOMESTICO,26562,16265,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,LA VICTORIA,150115,COMERCIAL,6633,3693,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,LA VICTORIA,150115,INDUSTRIAL,495,372,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,LA VICTORIA,150115,ESTATAL,0,0,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,MAGDALENA,150120,SOCIAL,6,5,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,MAGDALENA,150120,DOMESTICO,7731,5131,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,MAGDALENA,150120,COMERCIAL,1188,783,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,MAGDALENA,150120,INDUSTRIAL,81,82,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,MAGDALENA,150120,ESTATAL,0,0,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,PUEBLO LIBRE,150121,SOCIAL,5,5,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,PUEBLO LIBRE,150121,DOMESTICO,12194,10113,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,PUEBLO LIBRE,150121,COMERCIAL,1449,889,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,PUEBLO LIBRE,150121,INDUSTRIAL,124,122,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,PUEBLO LIBRE,150121,ESTATAL,0,0,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,SAN MIGUEL,150136,SOCIAL,15,11,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,SAN MIGUEL,150136,DOMESTICO,20657,16044,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,SAN MIGUEL,150136,COMERCIAL,1940,1146,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,SAN MIGUEL,150136,INDUSTRIAL,173,165,2026,202605,20260531
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,SAN MIGUEL,150136,ESTATAL,0,0,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,ATE,150103,SOCIAL,498,161,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,ATE,150103,DOMESTICO,97542,94662,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,ATE,150103,COMERCIAL,4144,3635,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,ATE,150103,INDUSTRIAL,800,784,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,ATE,150103,ESTATAL,1,1,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,CHACLACAYO,150107,SOCIAL,8,5,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,CHACLACAYO,150107,DOMESTICO,3531,3335,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,CHACLACAYO,150107,COMERCIAL,30,30,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,CHACLACAYO,150107,INDUSTRIAL,4,3,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,CHACLACAYO,150107,ESTATAL,0,0,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,EL AGUSTINO,150111,SOCIAL,92,71,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,EL AGUSTINO,150111,DOMESTICO,27176,25664,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,EL AGUSTINO,150111,COMERCIAL,649,545,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,EL AGUSTINO,150111,INDUSTRIAL,50,44,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,EL AGUSTINO,150111,ESTATAL,1,1,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,LA MOLINA,150114,SOCIAL,26,16,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,LA MOLINA,150114,DOMESTICO,29352,26766,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,LA MOLINA,150114,COMERCIAL,1351,942,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,LA MOLINA,150114,INDUSTRIAL,121,115,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,LA MOLINA,150114,ESTATAL,1,1,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,LURIGANCHO,150118,SOCIAL,46,11,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,LURIGANCHO,150118,DOMESTICO,34189,33213,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,LURIGANCHO,150118,COMERCIAL,744,713,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,LURIGANCHO,150118,INDUSTRIAL,148,154,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,LURIGANCHO,150118,ESTATAL,0,0,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,SAN LUIS,150134,SOCIAL,1,1,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,SAN LUIS,150134,DOMESTICO,7120,6480,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,SAN LUIS,150134,COMERCIAL,1156,874,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,SAN LUIS,150134,INDUSTRIAL,187,176,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,SAN LUIS,150134,ESTATAL,1,1,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,CIENEGUILLA,150109,SOCIAL,19,12,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,CIENEGUILLA,150109,DOMESTICO,3685,5009,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,CIENEGUILLA,150109,COMERCIAL,117,102,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,CIENEGUILLA,150109,INDUSTRIAL,8,8,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,CIENEGUILLA,150109,ESTATAL,0,0,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,SANTA ANITA,150137,SOCIAL,36,19,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,SANTA ANITA,150137,DOMESTICO,23420,22468,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,SANTA ANITA,150137,COMERCIAL,1198,1003,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,SANTA ANITA,150137,INDUSTRIAL,91,88,2026,202605,20260531
